A,B,C,D,E,F,( not ( ( not ( 0 and D ) ) or ( not ( ( not ( 0 and D ) ) ) ) ) ),( not ( ( not ( 1 and D ) ) or ( not ( ( not ( 1 and D ) ) ) ) ) ),( not ( ( not ( C and 0 ) ) or ( not ( ( not ( C and 0 ) ) ) ) ) ),( not ( ( not ( C and 1 ) ) or ( not ( ( not ( C and 1 ) ) ) ) ) )
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0
0,0,0,1,1,1,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,1,1,0,1,0,0,0,0
0,0,1,1,1,0,0,0,0,0
0,0,1,1,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0
0,1,0,0,1,0,0,0,0,0
0,1,0,0,1,1,0,0,0,0
0,1,0,1,0,0,0,0,0,0
0,1,0,1,0,1,0,0,0,0
0,1,0,1,1,0,0,0,0,0
0,1,0,1,1,1,0,0,0,0
0,1,1,0,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0
0,1,1,0,1,0,0,0,0,0
0,1,1,0,1,1,0,0,0,0
0,1,1,1,0,0,0,0,0,0
0,1,1,1,0,1,0,0,0,0
0,1,1,1,1,0,0,0,0,0
0,1,1,1,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0
1,0,0,0,1,0,0,0,0,0
1,0,0,0,1,1,0,0,0,0
1,0,0,1,0,0,0,0,0,0
1,0,0,1,0,1,0,0,0,0
1,0,0,1,1,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0
1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0,0,0
1,0,1,0,1,0,0,0,0,0
1,0,1,0,1,1,0,0,0,0
1,0,1,1,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0,0
1,0,1,1,1,0,0,0,0,0
1,0,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0
1,1,0,0,1,0,0,0,0,0
1,1,0,0,1,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0
1,1,0,1,0,1,0,0,0,0
1,1,0,1,1,0,0,0,0,0
1,1,0,1,1,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0
1,1,1,0,0,1,0,0,0,0
1,1,1,0,1,0,0,0,0,0
1,1,1,0,1,1,0,0,0,0
1,1,1,1,0,0,0,0,0,0
1,1,1,1,0,1,0,0,0,0
1,1,1,1,1,0,0,0,0,0
1,1,1,1,1,1,0,0,0,0
